event_task,event_place,event_participants,event_date
"Remind me tomorrow at 15:00 to meet Anna and Mikhail in Moscow, 12, Arbat Street.",,,2025-07-13 15:00:00
me to go to the London tomorrow with my little brother,London,,2025-07-13 18:00:00
"me to go to the shop ""Apple"" in London, UK with my little brother","London, UK",,2025-07-13 22:35:12.286671
Remind me to go to an ocvapark in London with my little brother,London,Remind me to go to an ocvapark in London with my little brother,2025-07-13 23:33:51.139040
"reminder, I'm",,"reminder, I'm",2025-07-12 18:00:00
"reminder, I'm",,,
Remind me to go to the city center in London with my little brother,London,,2025-07-13 20:00:00
Remind me to go to the restaurant in London with my brother,London,,2025-07-12 20:00:00
Remind me to go to the restaurant which is in London Liberable's Trade with brother,,Remind me to go to the restaurant which is in London Liberable's Trade with brother,2025-07-13 22:00:00
"me to go to the park with my little brother, which is in Burne mounthe street, Colchester, London, in next","Colchester, London","me to go to the park with my little brother, which is in Burne mounthe street, Colchester, London, in next",2025-07-11 21:00:00
me to take the shower in a cold chest or too tomorrow. And please,,,2025-07-14 18:46:00.720810
"Reminder, go to the restaurant with my brother",,,2025-07-14 18:50:49.308181
me to take the shower,,,2025-07-14 23:14:16.508711
Remind me to take the shower,,,2025-07-14 23:15:49.560431
Hopefully it's 35 plus,,,2025-03-13 00:00:00
He'll figure 35 plus,,,2040-07-13 00:00:00
going to be 30 plus,,,2050-07-14 00:00:00
me to go to the park,,,2025-07-15 22:31:02.805811
