Language,Gender,ShortName
af-ZA,Female,af-ZA-AdriNeural
af-ZA,Male,af-ZA-WillemNeural
sq-AL,Female,sq-AL-AnilaNeural
sq-AL,Male,sq-AL-IlirNeural
am-ET,Male,am-ET-AmehaNeural
am-ET,Female,am-ET-MekdesNeural
ar-DZ,Female,ar-DZ-AminaNeural
ar-DZ,Male,ar-DZ-IsmaelNeural
ar-BH,Male,ar-BH-AliNeural
ar-BH,Female,ar-BH-LailaNeural
ar-EG,Female,ar-EG-SalmaNeural
ar-EG,Male,ar-EG-ShakirNeural
ar-IQ,Male,ar-IQ-BasselNeural
ar-IQ,Female,ar-IQ-RanaNeural
ar-JO,Female,ar-JO-SanaNeural
ar-JO,Male,ar-JO-TaimNeural
ar-KW,Male,ar-KW-FahedNeural
ar-KW,Female,ar-KW-NouraNeural
ar-LB,Female,ar-LB-LaylaNeural
ar-LB,Male,ar-LB-RamiNeural
ar-LY,Female,ar-LY-ImanNeural
ar-LY,Male,ar-LY-OmarNeural
ar-MA,Male,ar-MA-JamalNeural
ar-MA,Female,ar-MA-MounaNeural
ar-OM,Male,ar-OM-AbdullahNeural
ar-OM,Female,ar-OM-AyshaNeural
ar-QA,Female,ar-QA-AmalNeural
ar-QA,Male,ar-QA-MoazNeural
ar-SA,Male,ar-SA-HamedNeural
ar-SA,Female,ar-SA-ZariyahNeural
ar-SY,Female,ar-SY-AmanyNeural
ar-SY,Male,ar-SY-LaithNeural
ar-TN,Male,ar-TN-HediNeural
ar-TN,Female,ar-TN-ReemNeural
ar-AE,Female,ar-AE-FatimaNeural
ar-AE,Male,ar-AE-HamdanNeural
ar-YE,Female,ar-YE-MaryamNeural
ar-YE,Male,ar-YE-SalehNeural
az-AZ,Male,az-AZ-BabekNeural
az-AZ,Female,az-AZ-BanuNeural
bn-BD,Female,bn-BD-NabanitaNeural
bn-BD,Male,bn-BD-PradeepNeural
bn-IN,Male,bn-IN-BashkarNeural
bn-IN,Female,bn-IN-TanishaaNeural
bs-BA,Male,bs-BA-GoranNeural
bs-BA,Female,bs-BA-VesnaNeural
bg-BG,Male,bg-BG-BorislavNeural
bg-BG,Female,bg-BG-KalinaNeural
my-MM,Female,my-MM-NilarNeural
my-MM,Male,my-MM-ThihaNeural
ca-ES,Male,ca-ES-EnricNeural
ca-ES,Female,ca-ES-JoanaNeural
zh-HK,Female,zh-HK-HiuGaaiNeural
zh-HK,Female,zh-HK-HiuMaanNeural
zh-HK,Male,zh-HK-WanLungNeural
zh-CN,Female,zh-CN-XiaoxiaoNeural
zh-CN,Female,zh-CN-XiaoyiNeural
zh-CN,Male,zh-CN-YunjianNeural
zh-CN,Male,zh-CN-YunxiNeural
zh-CN,Male,zh-CN-YunxiaNeural
zh-CN,Male,zh-CN-YunyangNeural
zh-CN-liaoning,Female,zh-CN-liaoning-XiaobeiNeural
zh-TW,Female,zh-TW-HsiaoChenNeural
zh-TW,Male,zh-TW-YunJheNeural
zh-TW,Female,zh-TW-HsiaoYuNeural
zh-CN-shaanxi,Female,zh-CN-shaanxi-XiaoniNeural
hr-HR,Female,hr-HR-GabrijelaNeural
hr-HR,Male,hr-HR-SreckoNeural
cs-CZ,Male,cs-CZ-AntoninNeural
cs-CZ,Female,cs-CZ-VlastaNeural
da-DK,Female,da-DK-ChristelNeural
da-DK,Male,da-DK-JeppeNeural
nl-BE,Male,nl-BE-ArnaudNeural
nl-BE,Female,nl-BE-DenaNeural
nl-NL,Female,nl-NL-ColetteNeural
nl-NL,Female,nl-NL-FennaNeural
nl-NL,Male,nl-NL-MaartenNeural
en-AU,Female,en-AU-NatashaNeural
en-AU,Male,en-AU-WilliamNeural
en-CA,Female,en-CA-ClaraNeural
en-CA,Male,en-CA-LiamNeural
en-HK,Male,en-HK-SamNeural
en-HK,Female,en-HK-YanNeural
en-IN,Female,en-IN-NeerjaNeural
en-IN,Male,en-IN-PrabhatNeural
en-IE,Male,en-IE-ConnorNeural
en-IE,Female,en-IE-EmilyNeural
en-KE,Female,en-KE-AsiliaNeural
en-KE,Male,en-KE-ChilembaNeural
en-NZ,Male,en-NZ-MitchellNeural
en-NZ,Female,en-NZ-MollyNeural
en-NG,Male,en-NG-AbeoNeural
en-NG,Female,en-NG-EzinneNeural
en-PH,Male,en-PH-JamesNeural
en-PH,Female,en-PH-RosaNeural
en-SG,Female,en-SG-LunaNeural
en-SG,Male,en-SG-WayneNeural
en-ZA,Female,en-ZA-LeahNeural
